id,original_path,checksum,arch,format,compiler_spec,size
10720,/data/hongyuan/akiba_dataset/firmline/blobs/adsp.b25_1677409251,b5eb598ff1f30e494e90a7055d9940d8,n/a,n/a,n/a,28200
10721,/data/hongyuan/akiba_dataset/firmline/blobs/Isku_v125.bin,acab9fe3c146108060a9c605b1b07762,ARM:LE:32:v8T,Raw Binary,unknown,56844
10722,/data/hongyuan/akiba_dataset/firmline/blobs/kbl_dmc_ver1_04.bin,924d401952828c04fce352291559a1e0,n/a,n/a,n/a,8840
10723,/data/hongyuan/akiba_dataset/firmline/blobs/ucode_ahesasc.bin_1676937319,9cc37d92a72ca04ed69ee71b4baf61be,n/a,n/a,n/a,22784
10724,/data/hongyuan/akiba_dataset/firmline/blobs/vrgain.bin_1677710686,dcf2c3889be8942f389cd7a3907cf350,n/a,n/a,n/a,6036
10725,/data/hongyuan/akiba_dataset/firmline/blobs/a610_zap.b01_1677835086,d8131637d1ef1931b836c2625d805778,n/a,n/a,n/a,6712
10726,/data/hongyuan/akiba_dataset/firmline/blobs/Woo_4_0_V2_01_004_XXX_aa_s132_bootloader.bin@e800483dc58cda59cd860c1dffec12a1,e800483dc58cda59cd860c1dffec12a1,n/a,n/a,n/a,28672
10727,/data/hongyuan/akiba_dataset/firmline/blobs/cs47l35-dsp2-karaoke-music.wmfw,9ea041a824c4ed67f57667268655c3ba,n/a,n/a,n/a,26328
10728,/data/hongyuan/akiba_dataset/firmline/blobs/LUT_C01.txt_1677181934,7ae4b585b941265ef7c3d357ed778333,n/a,n/a,n/a,15090
10729,/data/hongyuan/akiba_dataset/firmline/blobs/ipa_fws.mdt_1677804951,2e354ef80f2aef084ffa55bbdc4bfdb7,n/a,n/a,n/a,7020
10730,/data/hongyuan/akiba_dataset/firmline/blobs/BONAIRE_mec.bin,e2a1fb791002c7ce24f770d234700104,n/a,n/a,n/a,16768
10731,/data/hongyuan/akiba_dataset/firmline/blobs/Image_1677427808,42fc7c57d98198e6152a9d23d22c4df5,AARCH64:LE:64:v8A,Raw Binary,unknown,3738832
10732,/data/hongyuan/akiba_dataset/firmline/blobs/sw_fp.mdt_1677240866,601ab4389ffffcb58218eca1561f8b16,ARM:LE:32:v8,Executable and Linking Format (ELF),unknown,6940
10733,/data/hongyuan/akiba_dataset/firmline/blobs/ipa_fws.b02_1677674915,ad641ef319b07467430d7b8548b657f8,n/a,n/a,n/a,12024
10734,/data/hongyuan/akiba_dataset/firmline/blobs/CAMERA_ICP.elf_1677628791,d02cefba158c136bbf6b53051635ed6d,ARM:LE:32:v8,Executable and Linking Format (ELF),unknown,4288536
10735,/data/hongyuan/akiba_dataset/firmline/blobs/RV635_me.bin,3f2a89200db525a69d79c84458111a7d,n/a,n/a,n/a,21504
10736,/data/hongyuan/akiba_dataset/firmline/blobs/soc1_0_patch_mcu_1a_1_hdr.bin,4d8216f5f79fbecb3fd3ff9fa4f3e54f,n/a,n/a,n/a,25742
