"ID","Hash","vendor","device/MCU model"
345,"6c4fc75e4c5f6751ed7d7a0c8f072a99",,
346,"4c45bb4a942734c16e26a124269e5b8e",,
347,"5f9bd0106e42bce881964c966cbfc2d8",,
348,"ca1a7ee2432392ef00d7552c76514942",,
349,"090cf5e408126faca22cf0cb67f59fba",,
350,"498e262474d07dae37ecaa0e7715d58f",,
351,"69dd750d7418c54a379ef95d653df315",,
352,"35ef6549c965747e23b6f42b4c8088c8",,
353,"e1b7c676df62d205ef4f37744da9bd19",,
354,"0ff312fa8856e1d92ac0f3a5341938e6",,
355,"62bfc61e9fd8a57d3bfb356764e04a92",,
356,"28a3006587ae7e2540e90b5df083612b",,
357,"5089fcf65f76ceeeb666bff0cb60011d",,
358,"d6c0a0ce4e000e49d06a5bc4a4165660",,
359,"3c67a1df9f39d334b43aa3e761eb9927",,
360,"9abf344bb8372a56bc9a0061eda9d6e2",,
361,"c15fbfdd29e141caed59cccba0ca161e",,
362,"3923b5329a0100ba1e4aade16fd8bdd8",,
363,"f0e2bdd2845ca463ef3aac228e944c0c","stm32",
364,"929b33d6d5b509d4de4beda388730cd7","nordic",
365,"7362473b1fa909c8575040a6972c8fb4","nordic",
366,"35d782df445a1480fbf2afb92479ae1d","nordic",
367,"0d666d33dd582464ba0ab3970b01718e","nordic",
368,"9346b3603651589c3b900f39cd0f35c4","nordic",
369,"7742980017d90109674bdccc011c1f5d","nordic",
370,"bde98c239da1177ca97cabc13f865f43","nordic",
371,"7de162b6113936726c57979f7e34d9fc","nordic",
372,"606b14e144b426ee4116ab874e9d9b80","nordic",
373,"e65ef1e6bbd944b640646807419d9caf","nordic",
374,"2fc145b5eae35b6be1cda4321cf67bb9","cypress",
375,"e6edc017fe84bb8e84c7784ff4ad2451","cypress",
376,"987eb87f7cb5620500fa4c7bbc34462e",,
377,"ffe255d4fad1d4facf515f8db0182cea","nordic",
378,"dbe57b8d102fd50abfeb513c122edd8a",,
379,"e1ada524e26bb8de56276952da23f581",,
380,"a03966f1a045dfbea1c4ea4048226426",,
381,"d2a4b30bdc82bc099745c9fa538f53c0",,
382,"58ea3fbe2fc501b10abe66895fc65d06",,
383,"b8911d4eb63b84d48c8e9bea4d3e3ba9",,
384,"85d7b85aeffe26b34ab76907489a04d1",,
385,"0f4b4e13952c1b1fd145438627362d00",,
386,"a5831a6ae79fb6af3f69cf01200fdc4f",,
387,"aeed1c0a5bf0f3f010e53a11077d13b9",,
388,"417162e9f261101e490fb787f8902add",,
389,"5855de9f9cf9cdcef1db4f48f978e134",,
390,"b74ac41d76f8de58295b13cccac7ea41",,
391,"a116600bbc9c132b29ae6714452c6c98",,
392,"3b346335d18952529c736aff97ae3771",,
393,"9231d3d25680c63d1d9971288330a95a",,
394,"a8d8d9ac3f57bf4085b505f43720dcb3",,
395,"b1ba6c043ef58a393df8b66b077f706e",,
396,"72e082de9e18ca4640cdeb248907decb",,
397,"69fd9df859b921c229b7a4bf11fbba64",,
398,"ff5a027cd37b4b1cb74c55a9a8f4b837",,
399,"4a5498f6fdf0664c3d07c67d9fcea8a0",,
400,"32e47ae3771b2c4fdee7e67e0b2a080b",,
401,"2d709e092fc9c18863c952c1f63f9151",,
402,"46d758dd4aa0cc5a1bd4444eb5cedfda",,
403,"e08d3c4f0cda2d755b3c03273e5401d0",,
404,"ca89cd80f3faaea8db4ef7d7f0eaa897",,
4144,"5ae764faa430be05cc42d1678bf9cefa",,
